	1h	1h	
		1h	
10.422806672	1378.8	0.195046439628483	1149
10.449067237	1350	0.170278637770898	1125
10.475327802	1340.4	0.162022703818369	1117
10.501588367	1310.4	0.136222910216718	1092
10.527848932	1396.8	0.210526315789474	1164
10.554109497	1309.2	0.135190918472652	1091
10.580370062	1296	0.123839009287926	1080
10.606630627	1318.8	0.143446852425181	1099
10.632891192	1308	0.134158926728586	1090
10.659151757	1300.8	0.12796697626419	1084
10.685412322	1267.2	0.0990712074303405	1056
10.711672887	1262.4	0.0949432404540764	1052
10.737933452	1303.2	0.130030959752322	1086
10.764194017	1348.8	0.169246646026832	1124
10.790454582	1303.2	0.130030959752322	1086
10.816715147	1340.4	0.162022703818369	1117
10.842975712	1267.2	0.0990712074303405	1056
10.869236277	1304.4	0.131062951496388	1087
10.895496842	1387.2	0.202270381836945	1156
10.921757407	1258.8	0.0918472652218782	1049
10.948017972	1273.2	0.104231166150671	1061
10.974278537	1354.8	0.174406604747162	1129
11.000539102	1354.8	0.174406604747162	1129
11.026799667	1328.4	0.151702786377709	1107
11.053060232	1330.8	0.153766769865841	1109
11.079320797	1296	0.123839009287926	1080
11.105581362	1364.4	0.18266253869969	1137
11.131841927	1323.6	0.147574819401445	1103
11.158102492	1350	0.170278637770898	1125
11.184363057	1417.2	0.228070175438596	1181
11.210623622	1286.4	0.115583075335397	1072
11.236884187	1305.6	0.132094943240454	1088
11.263144752	1293.6	0.121775025799794	1078
11.289405317	1257.6	0.0908152734778122	1048
11.315665882	1381.2	0.197110423116615	1151
11.341926447	1320	0.144478844169247	1100
11.368187012	1310.4	0.136222910216718	1092
11.394447577	1311.6	0.137254901960784	1093
11.420708142	1282.8	0.112487100103199	1069
11.446968707	1354.8	0.174406604747162	1129
11.473229272	1339.2	0.160990712074303	1116
11.499489837	1305.6	0.132094943240454	1088
11.525750402	1330.8	0.153766769865841	1109
11.552010967	1299.6	0.126934984520124	1083
11.578271532	1320	0.144478844169247	1100
11.604532097	1315.2	0.140350877192982	1096
11.630792662	1387.2	0.202270381836945	1156
11.657053227	1299.6	0.126934984520124	1083
11.683313792	1351.2	0.171310629514964	1126
11.709574357	1275.6	0.106295149638803	1063
11.735834922	1266	0.0980392156862745	1055
11.762095487	1336.8	0.158926728586171	1114
11.788356052	1329.6	0.152734778121775	1108
11.814616618	1276.8	0.107327141382869	1064
11.840877183	1318.8	0.143446852425181	1099
11.867137748	1368	0.185758513931889	1140
11.893398313	1354.8	0.174406604747162	1129
11.919658878	1305.6	0.132094943240454	1088
11.945919443	1266	0.0980392156862745	1055
11.972180008	1386	0.201238390092879	1155
11.998440573	1293.6	0.121775025799794	1078
12.024701138	1350	0.170278637770898	1125
12.050961703	1292.4	0.120743034055728	1077
12.077222268	1341.6	0.163054695562435	1118
12.103482833	1356	0.175438596491228	1130
12.129743398	1274.4	0.105263157894737	1062
12.156003963	1350	0.170278637770898	1125
12.182264528	1276.8	0.107327141382869	1064
12.208525093	1304.4	0.131062951496388	1087
12.234785658	1320	0.144478844169247	1100
12.261046223	1347.6	0.168214654282766	1123
12.287306788	1345.2	0.166150670794634	1121
12.313567353	1303.2	0.130030959752322	1086
12.339827918	1315.2	0.140350877192982	1096
12.366088483	1263.6	0.0959752321981424	1053
12.392349048	1312.8	0.13828689370485	1094
12.418609613	1249.2	0.0835913312693498	1041
12.444870178	1393.2	0.207430340557276	1161
12.471130743	1333.2	0.155830753353973	1111
12.497391308	1302	0.128998968008256	1085
12.523651873	1400.4	0.213622291021672	1167
12.549912438	1360.8	0.179566563467492	1134
12.576173003	1293.6	0.121775025799794	1078
12.602433568	1320	0.144478844169247	1100
12.628694133	1290	0.118679050567595	1075
12.654954698	1316.4	0.141382868937048	1097
12.681215263	1311.6	0.137254901960784	1093
12.707475828	1292.4	0.120743034055728	1077
12.733736393	1309.2	0.135190918472652	1091
12.759996958	1321.2	0.145510835913313	1101
12.786257523	1280.4	0.110423116615067	1067
12.812518088	1288.8	0.117647058823529	1074
12.838778653	1350	0.170278637770898	1125
12.865039218	1244.4	0.0794633642930856	1037
